id;title;NF_inlink_ratio;NF_outlink_ratio;MW_generality
23317;proton;0.00032;0.000034;0.8125
25916521;plasma physics;0.000329;0.000056;0.8125
1716550;physical paradox;0.000007;0.000035;0.625
23535;photon;0.000327;0.000098;0.75
23637;phase matter;0.000074;0.000013;0.8125
22483;optics;0.000304;0.000113;0.625
22054;nuclear fission;0.000166;0.000085;0.75
21272;neutron;0.000285;0.000064;0.8125
21830;nature;0.000353;0.00011;0.8125
20580;motion physics;0.00008;0.000044;0.6875
149861;work physics;0.00007;0.00001;0.6875
19673093;matter;0.000176;0.000069;0.875
19048;mass;0.00048;0.000051;0.8125
19716;magnetism;0.000218;0.000047;0.5625
385334;list of particles;0.000015;0.000042;0.8125
17939;light;0.000457;0.00007;0.5625
17556;laser;0.000564;0.0001;0.6875
16619;kilogram;0.000615;0.000051;0.75
19600416;isotope;0.000282;0.000049;0.6875
672218;isospin;0.000022;0.000022;0.8125
2796131;introduction to quantum mechanics;0.000013;0.000054;0.625
14946;ice;0.000236;0.000049;0.75
19593167;heat;0.000249;0.000026;0.75
38579;gravitation;0.000521;0.000037;0.75
18993869;gas;0.000381;0.000051;0.75
10902;force;0.000231;0.00011;0.75
9891;entropy;0.000227;0.000065;0.75
9649;energy;0.000642;0.000077;0.75
9476;electron;0.000609;0.000109;0.75
9532;electromagnetism;0.000245;0.000033;0.75
9426;electromagnetic radiation;0.00032;0.00005;0.625
9550;electricity;0.000828;0.000079;0.5625
9804;electric charge;0.000216;0.000034;0.75
8651;dark matter;0.000151;0.000089;0.8125
5387;condensed matter physics;0.000096;0.000028;0.8125
5921;color;0.000318;0.000046;0.625
7555;casimir effect;0.000023;0.000033;0.8125
4115;boiling point;0.000093;0.000012;0.75
4650;black hole;0.000303;0.000072;0.8125
4116;big bang;0.000232;0.000096;0.75
19916559;atomic nucleus;0.000195;0.000017;0.8125
2839;angular momentum;0.00014;0.000035;0.75
1418;absolute zero;0.000062;0.000028;0.6875
2703;aberration of light;0.00002;0.000026;0.625
547075;waheguru;0.000015;0.00001;0.6875
19334491;vishnu;0.000595;0.000078;0.625
30511;trinity;0.000509;0.000087;0.6875
54225;trimurti;0.000041;0.000014;0.75
316348;thor;0.00018;0.000058;0.5625
28849;shiva;0.000914;0.000075;0.6875
19377014;rama;0.000394;0.000071;0.5625
19230475;quetzalcoatl;0.000072;0.000025;0.75
19230767;odin;0.000236;0.000063;0.6875
34611;names of god in islam;0.000047;0.000012;0.75
29945;names of god in judaism;0.000081;0.000066;0.625
561726;names of god;0.000024;0.000072;0.6875
20826;mithraic mysteries;0.00007;0.000045;0.75
9025;list of deities;0.000021;0.000032;0.6875
4593651;jehovah;0.000045;0.000052;0.625
97293;jah;0.000016;0.00001;0.6875
